c instance by G2
c solution = 11011011110100110101100011111011110000000011001000
p cnf 50 210 3
w 7 6 1 6 8 1 8 4 4 0 7 0 6 3 7 2 1 5 2 4 3 3 6 2 1 1 0 5 1 3 5 3 3 6 6 1 6 4 9 8 9 2 6 6 5 9 6 8 7 1 
39 8 -27 0
40 -21 18 0
35 -19 22 0
16 46 -13 0
-6 32 24 0
-6 40 17 0
46 19 -40 0
31 7 -40 0
2 -7 21 0
-21 -43 -6 0
41 -28 -6 0
40 -47 -42 0
-20 -1 -40 0
12 14 -21 0
39 21 -18 0
21 -2 -32 0
47 5 20 0
6 -26 -38 0
-22 -10 -27 0
-20 14 -41 0
-10 43 -35 0
36 -4 -39 0
37 30 -14 0
18 -11 -39 0
13 -30 38 0
-39 -18 5 0
-50 -8 -6 0
2 33 40 0
25 50 30 0
8 12 -11 0
-27 -2 44 0
-6 -35 34 0
-40 -3 -17 0
-43 27 -25 0
-36 -48 -20 0
29 15 -46 0
23 43 -2 0
8 -18 -44 0
-42 -9 -8 0
26 -37 44 0
-34 13 -17 0
-32 12 -47 0
-34 33 9 0
-41 -23 44 0
49 29 22 0
40 11 -30 0
-13 -20 49 0
5 -43 22 0
42 -43 34 0
36 45 -38 0
10 23 -45 0
21 -12 40 0
-32 -21 5 0
-46 -25 -48 0
-41 -3 22 0
46 13 -3 0
33 49 -45 0
33 -3 -24 0
-18 22 12 0
-16 8 38 0
49 11 33 0
-20 -27 47 0
15 13 -24 0
-33 -3 6 0
-24 -26 14 0
7 47 -11 0
-34 27 -44 0
38 -10 15 0
-35 17 46 0
1 -9 13 0
-41 22 36 0
-20 19 44 0
4 40 50 0
1 -32 -33 0
-36 -23 -39 0
41 28 19 0
-11 -25 -21 0
-16 8 32 0
-11 -8 36 0
3 4 -42 0
-25 -4 32 0
-7 12 -22 0
13 48 -11 0
35 39 43 0
-36 -5 -13 0
-30 12 -4 0
34 -28 -1 0
-20 30 -11 0
16 50 -34 0
47 33 -21 0
27 36 -15 0
-22 -11 -24 0
14 -6 -42 0
3 -18 -30 0
22 -40 -34 0
-2 33 -21 0
-5 27 -20 0
28 -10 -15 0
3 -45 49 0
38 -35 36 0
31 14 22 0
36 -50 38 0
-22 -33 49 0
13 18 27 0
29 8 1 0
-19 48 2 0
-43 37 44 0
50 -34 20 0
-6 31 30 0
46 49 10 0
-38 34 33 0
9 8 20 0
21 24 -26 0
25 33 10 0
50 -33 44 0
-46 -31 -50 0
-34 -38 33 0
-28 9 -1 0
-13 -21 39 0
7 14 22 0
39 17 9 0
17 -7 -46 0
41 33 -16 0
38 31 -23 0
-33 -15 -40 0
-42 -8 49 0
1 -29 47 0
-49 -20 -26 0
-33 2 23 0
12 -2 31 0
-6 18 14 0
35 -36 9 0
-33 26 -30 0
-6 23 -22 0
-21 2 33 0
46 -22 -29 0
8 42 -32 0
15 48 -41 0
13 43 -46 0
-34 -3 27 0
-7 -6 -45 0
22 -15 29 0
-25 -28 26 0
-5 18 -46 0
44 -46 4 0
-43 -25 27 0
31 22 -47 0
4 5 33 0
-5 33 45 0
13 45 -14 0
-6 35 24 0
9 1 13 0
13 -24 46 0
2 18 -48 0
23 14 -35 0
-7 -39 15 0
-7 -24 -4 0
-8 -42 37 0
6 -35 13 0
-46 44 13 0
-21 13 18 0
-8 -41 22 0
30 -11 -19 0
-29 -3 27 0
8 22 31 0
-30 -36 -50 0
-7 -49 -45 0
-15 8 -49 0
43 -29 -28 0
10 9 27 0
-29 -24 21 0
32 -44 -2 0
-46 32 12 0
-46 -33 -18 0
46 -6 24 0
45 -48 36 0
-17 -48 11 0
-49 44 43 0
-23 -26 -18 0
-38 -41 -3 0
35 20 13 0
-14 23 50 0
50 11 -13 0
-42 12 5 0
-31 -24 -49 0
31 -45 -44 0
31 -28 -18 0
19 -8 -37 0
29 -13 -35 0
28 49 -34 0
34 16 44 0
-33 -37 -44 0
35 -40 36 0
-14 18 -38 0
1 -16 3 0
29 20 -44 0
-27 1 35 0
7 -31 -47 0
49 10 -26 0
-46 42 -18 0
-29 -17 2 0
-11 -24 -21 0
-25 -26 1 0
-32 -36 -15 0
2 23 15 0
-19 -16 41 0
28 -29 -40 0
18 -29 -40 0
16 30 46 0
-22 35 49 0
